Baumnummer;Bereich;Haus-Nr;Genauer Standort;Sicherheitserwartung;Benutzer;Campus;St-Du (cm);St-U (cm);Höhe (m);Kronen-DM (m);Pflanzjahr;nächste Kontrolle;Verkehrssicherheit;Sonstiges;Bewertung Wurzeln;Bewertung Stamm;Bewertung Krone;Art deutsch;Art botanisch;Kronenform;Vitalität;Physiologie;GUID_Baum;Baumfläche;RW;HW;Kontrolldatum;Symptome Wurzeln;Symptome Stamm;Symptome Krone;Maßnahme
1;01;;Messstation;1-höher;SVBüro-Strasser;Nord;30;94;28;7;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;4-abgängig;2-Erwachsener Baum;146a361b-7bf6-4915-b0f9-4c4081490fb0;1.002;3458120,368;5439477,415;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgängig)
1;CO;70.02;SW;2-normal;R.Kastner;Ost;42;132;16;6;1980;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Blau-, Stech-Fichte;Picea pungens;1-normal;1-vital;2-Erwachsener Baum;596c0299-f799-4b58-b18f-39e145e412ae;;3458545,022;5431713,44;07.11.2017;;;;
1;00;;Einfahrt Süd;1-höher;SVBüro-Strasser;Nord;29;91;12;6;1990;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Rotbuche;Fagus sylvatica;1-normal;1-vital;2-Erwachsener Baum;8d693bc0-752a-4f47-bb80-4f4866601ff9;;3458298,51212563;5439393,76647539;06.06.2018;;;12-ungünst. Kronenaufbau;
2;CO;70.01;SW;1-höher;R.Kastner;Ost;51;160;17;6;1970;2019-02;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;1-vital;2-Erwachsener Baum;a19b0270-162b-46a0-b7db-a74eb1e883de;;3458531,479;5431695,848;07.11.2017;08-Belagsanhebung;;01-Verletzung;
2;01;;Messstation;1-höher;SVBüro-Strasser;Nord;30;94;25;6;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;3-erhebliche Schäden;3-erhebliche Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;4-reduziert;5-abgestorben;4-Schadbaum;138c9d94-2844-46d5-aa5f-5026d30e6a3a;1.002;3458116,453;5439477,944;13.06.2018;;01-Verletzung;08-Wipfeldürre;b12-Fällung (3-wichtig) (Baum abgestorben )
2;00;;Bushaltestelle ;1-höher;SVBüro-Strasser;Nord;38;119;17;8;1985;2019-03;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;0-keine Schäden;Weiss-/Sandbirke;Betula pendula;1-normal;1-vital;2-Erwachsener Baum;de60c357-95ce-4558-88f3-74ebc0cbe18c;;3458315,64025128;5439496,2999509;06.06.2018;;01-Verletzung;;
3;00;;Bushaltestelle ;1-höher;SVBüro-Strasser;Nord;32;101;16;6;1985;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Weiss-/Sandbirke;Betula pendula;1-normal;1-vital;2-Erwachsener Baum;235170b2-f3da-4478-ae4f-6fcfef39fa73;;3458315,87012564;5439507,05047545;06.06.2018;;;01-Verletzung;
3;CO;70.01;SW;1-höher;R.Kastner;Ost;31;97;17;5;1970;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;2-einseitig;2-geschwächt;2-Erwachsener Baum;2e1e0200-8ec8-4d30-8783-f1f211ae58a7;;3458529,376;5431698,862;07.11.2017;;;01-Verletzung;
3;01;;Messstation;1-höher;SVBüro-Strasser;Nord;30;94;28;7;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;4-abgängig;2-Erwachsener Baum;bda546f1-716e-4cde-89bf-378e2564f6aa;1.002;3458112,538;5439476,78;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgängig)
4;01;;Messstation ;1-höher;SVBüro-Strasser;Nord;35;110;30;5;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;713a3177-8666-47ab-a588-a05fb3139201;1.002;3458068,777;5439499,26;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben)
4;CO;70.01;SW;1-höher;R.Kastner;Ost;55;173;17;8;1970;2019-02;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;2-einseitig;1-vital;2-Erwachsener Baum;0f28e134-a130-47b4-be98-6a612f785b1c;;3458528,745;5431701,596;07.11.2017;;01-Verletzung, 09-Schrägstand;01-Verletzung;
4;00;;Eingang;1-höher;SVBüro-Strasser;Nord;34;107;10;8;1985;2019-03;1-verkehrssicher;;1-leichte Schäden;1-leichte Schäden;1-leichte Schäden;Vogel-, Süss-Kirsche;Prunus avium;1-normal;1-vital;2-Erwachsener Baum;026a02d1-1e38-47ba-8bdb-99b2ed030310;;3458348,17012567;5439611,38147552;07.06.2018;01-Verletzung;01-Verletzung;01-Verletzung;
5;CO;70.01;SW;1-höher;R.Kastner;Ost;91;286;17;16;1930;2018-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Stiel-Eiche;Quercus robur;1-normal;1-vital;3-Altbaum;4afef07b-8a36-4843-843d-ce8c435fc168;;3458522,472;5431699,826;07.11.2017;;;01-Verletzung, 07-Totholz;b06-Totholzbeseitigung (3-wichtig) (Totholz über Wiese W)
5;01;;Messstation ;1-höher;SVBüro-Strasser;Nord;35;110;31;7;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;7e2b7e43-e0f7-409b-8ea2-216c3a2d3526;1.002;3458061,405;5439495,552;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben )
5;00;;Eingang;1-höher;SVBüro-Strasser;Nord;49;154;17;7;1970;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Rot-Fichte;Picea abies;1-normal;1-vital;2-Erwachsener Baum;e9c95e22-71c8-4a9e-ac3b-729f5c9cd2f1;;3458365,89125138;5439626,45795104;07.06.2018;;;;
6;00;;Heizschacht 4014;1-höher;SVBüro-Strasser;Nord;5;16;4;2;2015;2020-04;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Rotblättriger Spitz-Ahorn;Acer platanoides 'rubra';1-normal;1-vital;1-Jungbaum;ae68bf6a-e1b4-4506-954d-6fbf4dccbdbb;;3458445,12012577;5439797,34247562;06.06.2018;;;;
6;01;;Messstation ;1-höher;SVBüro-Strasser;Nord;35;110;32;7;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;c32d005b-df15-4c16-a397-fb6cd38fa446;1.002;3458055,6;5439491,542;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben )
6;CO;70.01;SW;1-höher;R.Kastner;Ost;44;138;13;11;1975;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;2-deutliche Schäden;Hainbuche;Carpinus betulus;1-normal;2-geschwächt;2-Erwachsener Baum;38d819c4-ddc0-4e8e-ba2d-b12b1aa152a0;;3458511,013;5431696,812;07.11.2017;;;01-Verletzung, 08-Wipfeldürre;
7;01;;Messstation ;1-höher;SVBüro-Strasser;Nord;30;94;27;7;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;22b5176e-0220-4780-ac88-5b7bfd44ecd4;1.002;3458026,695;5439474,172;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben)
7;CO;70.01;SW;1-höher;R.Kastner;Ost;28;88;12;7;1975;2019-02;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;0-keine Schäden;Hainbuche;Carpinus betulus;1-normal;2-geschwächt;2-Erwachsener Baum;74c29ee6-1509-4e83-acf1-8cf6cbfac0a1;;3458508,279;5431693,868;07.11.2017;;11-Stamm- Stockaustriebe;;
7;00;;Nördlich Heizschacht 4014;1-höher;SVBüro-Strasser;Nord;5;16;3;1;2015;2020-04;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Rotblättriger Spitz-Ahorn;Acer platanoides 'rubra';1-normal;1-vital;1-Jungbaum;78d95ca2-d806-4ff2-a58a-093fb54fbb79;;3458450,87812577;5439817,68447563;06.06.2018;;;;
8;CO;70.01;SW;1-höher;R.Kastner;Ost;58;182;16;11;1965;2019-02;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;1-leichte Schäden;Hainbuche;Carpinus betulus;1-normal;1-vital;2-Erwachsener Baum;78ddda35-775b-4555-9e48-be3dfdb5252c;;3458502,637;5431693,167;07.11.2017;08-Belagsanhebung;;01-Verletzung, 05-V-Vergabelung;
8;00;;Nördlich Heizschacht 4014;1-höher;SVBüro-Strasser;Nord;5;16;4;2;2015;2020-04;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;0-keine Schäden;Rotblättriger Spitz-Ahorn;Acer platanoides 'rubra';1-normal;1-vital;1-Jungbaum;7092405c-351e-49f4-85eb-4bd9090a91e3;;3458456,23212577;5439835,74947564;06.06.2018;;01-Verletzung;;
8;01;;Messstation ;2-normal;SVBüro-Strasser;Nord;30;94;27;5;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;4-abgängig;2-Erwachsener Baum;ce5c452e-0598-4638-8ea2-069ea3fd36f3;1.003;3458036,98017959;5439513,33085464;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgängig)
9;01;;Messstation;2-normal;SVBüro-Strasser;Nord;30;94;28;5;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;d2ce4d69-b1b4-4e14-b812-c307fd71d426;1.003;3458015,96629008;5439498,5378575;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben)
9;CO;70.01;SW;2-normal;R.Kastner;Ost;43;135;17;9;1975;2019-02;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;1-leichte Schäden;Hainbuche;Carpinus betulus;1-normal;1-vital;2-Erwachsener Baum;b1b5b844-3a78-4bfd-9f13-71fa8397777c;;3458495,873;5431666,884;07.11.2017;;11-Stamm- Stockaustriebe;01-Verletzung;
9;00;;Nördlich Heizschacht;1-höher;SVBüro-Strasser;Nord;5;16;4;2;2015;2020-04;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Rotblättriger Spitz-Ahorn;Acer platanoides 'rubra';1-normal;1-vital;1-Jungbaum;f9578ec1-34f1-47b8-a5dd-d4b26b45f571;;3458461,36412578;5439853,51247565;06.06.2018;;;;
10;00;;Heizschacht 4211;1-höher;SVBüro-Strasser;Nord;47;148;22;12;1970;2019-03;1-verkehrssicher;;1-leichte Schäden;1-leichte Schäden;0-keine Schäden;Weymouths-Kiefer;Pinus strobus;1-normal;1-vital;2-Erwachsener Baum;e5266d88-3da3-449e-b232-b1f55d1e6c2e;;3458485,1942516;5439937,0109514;06.06.2018;01-Verletzung;01-Verletzung;;
10;CO;70.01;SW;2-normal;R.Kastner;Ost;46;145;14;9;1970;2019-02;1-verkehrssicher;Baum freigestellt ;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Stiel-Eiche;Quercus robur;2-einseitig;2-geschwächt;2-Erwachsener Baum;831d9945-d8c2-4bcd-9fb8-934a19b9523f;;3458504,389;5431672,421;07.11.2017;;;01-Verletzung;
11;01;;Messstation;1-höher;SVBüro-Strasser;Nord;40;126;30;9;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;d03d51b1-67fa-4815-bf0c-b3a6e374f926;1.003;3458077,212;5439593,236;20.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben)
11;CO;70.01;SW;1-höher;R.Kastner;Ost;32;101;14;7;1975;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Hainbuche;Carpinus betulus;1-normal;2-geschwächt;2-Erwachsener Baum;c3a3468a-b668-498f-af0f-b0327de1a392;;3458508,924;5431653,445;07.11.2017;;;01-Verletzung, 11-Astab-/ausbruch;
11;00;;Bushaltestelle ;1-höher;SVBüro-Strasser;Nord;42;132;17;11;1980;2019-03;1-verkehrssicher;;1-leichte Schäden;1-leichte Schäden;1-leichte Schäden;Weiss-/Sandbirke;Betula pendula;1-normal;2-geschwächt;2-Erwachsener Baum;2965ff15-b024-4c01-aa5d-074e7496b1cc;;3458515,70525166;5440047,89195152;06.06.2018;01-Verletzung, 02-Höhlung;01-Verletzung;01-Verletzung;
12;01;;Messstation;1-höher;SVBüro-Strasser;Nord;40;126;28;8;1950;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;1-vital;2-Erwachsener Baum;8c3cf943-022b-4aca-b19a-eeb626950967;1.003;3458079,061;5439559,95;14.06.2018;;;;b12-Fällung (3-wichtig) (Erhebliche Stammverletzung, Windbruchgefahr)
12;00;;Bushaltestelle ;1-höher;SVBüro-Strasser;Nord;46;145;18;9;1975;2019-03;1-verkehrssicher;;0-keine Schäden;2-deutliche Schäden;1-leichte Schäden;Weymouths-Kiefer;Pinus strobus;1-normal;1-vital;2-Erwachsener Baum;f91c05a7-c568-4f35-8649-b98864bbd322;;3458518,00212583;5440054,31647577;06.06.2018;;01-Verletzung;11-Astab-/ausbruch;
12;CO;70.01;SW;2-normal;R.Kastner;Ost;16;50;11;4;2000;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Berg-Ahorn;Acer pseudoplatanus;2-einseitig;1-vital;2-Erwachsener Baum;ee345e70-431d-4768-8ec7-91b04a96a9c0;;3458514,646;5431658,746;07.11.2017;;;;
13;00;;Tramhaltestelle;1-höher;SVBüro-Strasser;Nord;47;148;16;11;1975;2019-03;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;1-leichte Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;1-vital;2-Erwachsener Baum;e5ed63b9-462c-4251-9c92-6ff567415ba5;;3458539,25712585;5440130,46547581;06.06.2018;;01-Verletzung;01-Verletzung;
13;CO;70.01;SW;2-normal;R.Kastner;Ost;34;107;5;1;1970;2018-03;1-verkehrssicher;Baumruine, als Biotop stehenlassen,  k. Gefahr;0-keine Schäden;3-erhebliche Schäden;3-erhebliche Schäden;Hainbuche;Carpinus betulus;5-gekappt;5-abgestorben;4-Schadbaum;c4448681-b7d4-418f-af20-5f5bbacd9239;;3458514,966;5431650,233;07.11.2017;;01-Verletzung, 06-Rindenauffälligkeit;10-Kappung, 14-Baumfremder Bewuchs;
13;01;;Messstation;1-höher;SVBüro-Strasser;Nord;50;157;30;13;1935;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;1-vital;2-Erwachsener Baum;321c0205-822f-4df3-b961-951ff0467167;1.004;3458091,591;5439531,563;14.06.2018;;;;b12-Fällung (3-wichtig) (Ungünstiger Kronenaufbau. Instabile Anbindung an ehemaligem Wipfelbruch)
14;CO;70.01;SW;2-normal;R.Kastner;Ost;45;141;14;9;1970;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Stiel-Eiche;Quercus robur;1-normal;1-vital;2-Erwachsener Baum;2a370b0e-fced-4def-84d0-59a9841f2dfc;;3458519,223;5431652,247;07.11.2017;;;01-Verletzung, 11-Astab-/ausbruch;
14;00;;Tramhaltestelle;1-höher;SVBüro-Strasser;Nord;39;123;15;9;1975;2019-03;1-verkehrssicher;;0-keine Schäden;2-deutliche Schäden;1-leichte Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;2-geschwächt;2-Erwachsener Baum;003251b6-11bc-4108-87e1-382188458f06;;3458542,48812585;5440139,65247581;06.06.2018;;01-Verletzung, 02-Höhlung;01-Verletzung;
14;01;;Messstation;1-höher;SVBüro-Strasser;Nord;40;126;30;13;1935;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;4-abgängig;2-Erwachsener Baum;915d22b3-0e8d-441a-890c-d4a2e0f61fd3;1.004;3458107,85467545;5439572,91787085;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgängig)
15;00;;Tramhaltestelle;1-höher;SVBüro-Strasser;Nord;47;148;16;10;1975;2019-03;1-verkehrssicher;;1-leichte Schäden;1-leichte Schäden;1-leichte Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;1-vital;2-Erwachsener Baum;984075a6-b9ef-4594-853c-0f1a2b08dfe7;;3458544,71212585;5440148,19947582;06.06.2018;01-Verletzung;02-Höhlung;01-Verletzung;
15;CO;70.01;SW;1-höher;R.Kastner;Ost;37;116;15;7;1970;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Stiel-Eiche;Quercus robur;2-einseitig;2-geschwächt;2-Erwachsener Baum;666c7ed1-0766-429f-8dab-8877c5ef71e9;;3458520,321;5431647,854;07.11.2017;;;01-Verletzung;
15;01;;Messstation;1-höher;SVBüro-Strasser;Nord;50;157;30;13;1935;2019-03;3-wiederherstellbar;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;1-vital;2-Erwachsener Baum;e0c8bfee-647f-4961-818f-260a0e55a6d1;1.004;3458127,14448811;5439585,35288124;13.06.2018;;;;b06-Totholzbeseitigung (3-wichtig) (Totholz über Fahrweg)
16;CO;70.01;SW;1-höher;R.Kastner;Ost;66;207;14;7;1960;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Stiel-Eiche;Quercus robur;1-normal;1-vital;2-Erwachsener Baum;e267469f-91f2-495a-a65c-0deb64527ca5;;3458524,394;5431645,336;07.11.2017;;;01-Verletzung;
16;01;;Messstation;1-höher;SVBüro-Strasser;Nord;25;79;28;5;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;5fc1634f-aae0-463c-99f9-c4c4d08b710a;1.004;3458141,81967565;5439554,17529528;14.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben)
16;00;;Tramhaltestelle;1-höher;SVBüro-Strasser;Nord;46;145;14;9;1975;2019-03;1-verkehrssicher;;0-keine Schäden;2-deutliche Schäden;0-keine Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;1-vital;2-Erwachsener Baum;5be0a2ba-5a22-49e7-95ca-6ee07ab46cf2;;3458547,48312586;5440159,04747583;06.06.2018;01-Verletzung;02-Höhlung, 01-Verletzung;;
17;01;;Messstation;1-höher;SVBüro-Strasser;Nord;30;94;28;5;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;47b021fe-a8c8-48b6-9775-f14d77646855;1.004;3458161,753;5439539,984;14.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben)
17;00;;Tramhaltestelle;1-höher;SVBüro-Strasser;Nord;41;129;16;9;1975;2019-03;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;1-leichte Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;1-vital;2-Erwachsener Baum;2b39fac6-cdc8-41bf-9139-fc1f1b78cabd;;3458549,62912586;5440167,63347583;06.06.2018;;01-Verletzung;01-Verletzung;
17;CO;70.01;SW;2-normal;R.Kastner;Ost;33;104;11;8;1975;2019-02;1-verkehrssicher;;0-keine Schäden;2-deutliche Schäden;1-leichte Schäden;Hainbuche;Carpinus betulus;1-normal;1-vital;2-Erwachsener Baum;bfa7fb22-3f51-48a1-a06e-74f7cb410c70;;3458529,016;5431658,151;07.11.2017;;01-Verletzung, 02-Höhlung;01-Verletzung;
18;00;;Tramhaltestelle;1-höher;SVBüro-Strasser;Nord;49;154;16;11;1975;2019-03;1-verkehrssicher;;0-keine Schäden;2-deutliche Schäden;1-leichte Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;1-vital;2-Erwachsener Baum;ac3d211d-241e-4e7b-b73b-b33382aaf5ae;;3458552,47812586;5440177,15547584;06.06.2018;;01-Verletzung, 02-Höhlung, 05-V-Vergabelung;01-Verletzung;
18;01;;Messstation;1-höher;SVBüro-Strasser;Nord;40;126;28;6;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;4-abgängig;2-Erwachsener Baum;dddd6841-4265-4e66-a8e1-d3a3b1dbae0d;1.005;3458075,71623787;5439642,54024572;14.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgängig)
18;CO;70.01;SW;1-höher;R.Kastner;Ost;37;116;13;11;1970;2019-02;1-verkehrssicher;;0-keine Schäden;2-deutliche Schäden;1-leichte Schäden;Hainbuche;Carpinus betulus;2-einseitig;2-geschwächt;2-Erwachsener Baum;1af6c401-b954-4389-a527-e95760bb9303;;3458528,938;5431685,148;07.11.2017;;01-Verletzung;01-Verletzung;
19;CO;70.01;SW;1-höher;R.Kastner;Ost;72;226;17;15;1950;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Stiel-Eiche;Quercus robur;1-normal;1-vital;2-Erwachsener Baum;35866eaf-0bee-4702-9bc6-3c2208f801eb;;3458529,751;5431680,148;07.11.2017;;;01-Verletzung;
19;01;;Messstation;1-höher;SVBüro-Strasser;Nord;35;110;28;6;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;cb268259-906d-4a32-a56e-35432547f4b1;1.005;3458021,19362393;5439646,60611409;14.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben)
19;00;;Sammelpunkt IMVT;1-höher;SVBüro-Strasser;Nord;38;119;13;8;1975;2019-03;1-verkehrssicher;;0-keine Schäden;2-deutliche Schäden;1-leichte Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;1-vital;2-Erwachsener Baum;a274cd69-9d2d-4ac3-9442-ef9ab723c323;;3458556,18512586;5440190,57947585;06.06.2018;;01-Verletzung;01-Verletzung;
20;00;;Sammelpunkt IMVT;1-höher;SVBüro-Strasser;Nord;49;154;15;11;1975;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;2-geschwächt;2-Erwachsener Baum;8e9446d7-51b5-401b-9b8c-0719a7e35e32;;3458558,52412587;5440197,16747585;06.06.2018;;;01-Verletzung;
20;01;;;1-höher;SVBüro-Strasser;Nord;25;79;20;12;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Berg-Ahorn;Acer pseudoplatanus;1-normal;1-vital;2-Erwachsener Baum;2f23ad6b-720f-4397-ba04-f3c4c7232c7e;1.005;3458061,55448427;5439811,57912121;14.06.2018;;;;b12-Fällung (3-wichtig) (Erhebliche Stammverletzung)
20;CO;70.01;SW;2-normal;R.Kastner;Ost;65;204;18;16;1950;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Stiel-Eiche;Quercus robur;1-normal;1-vital;2-Erwachsener Baum;ed490d6f-aa39-41ef-8fb2-8878c6494963;;3458530,565;5431667,126;07.11.2017;;;01-Verletzung;
21;CO;70.01;SW;1-höher;R.Kastner;Ost;39;123;15;9;1975;2019-02;1-verkehrssicher;durchgehende Höhlung vom Stammfuss bis ca. 2,5m  Höhe;0-keine Schäden;3-erhebliche Schäden;0-keine Schäden;Hainbuche;Carpinus betulus;1-normal;1-vital;2-Erwachsener Baum;1546631b-5cc0-4039-8fb2-d198ea31832e;;3458535,415;5431666,32;07.11.2017;;02-Höhlung, 11-Stamm- Stockaustriebe;;b07-Kroneneinkürzung (3-wichtig) (um. ca. 15%)
21;00;;Sammelpunkt IMVT;1-höher;SVBüro-Strasser;Nord;31;97;10;6;1975;2019-03;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;2-deutliche Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;2-geschwächt;2-Erwachsener Baum;19f32cf3-53de-425b-9997-c500b0236032;;3458561,38512587;5440208,59147586;06.06.2018;;02-Höhlung;01-Verletzung;
21;01;;;1-höher;SVBüro-Strasser;Nord;45;141;22;13;1960;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Rot-Eiche;Quercus rubra;1-normal;1-vital;2-Erwachsener Baum;58a6c178-a7c9-454f-b5ef-3b01831bf898;1.005;3458140,02829608;5439976,26717666;14.06.2018;;;;b12-Fällung (3-wichtig) (Erhebliche Stammverletzung und beginnende Stockfäule)
22;01;;;1-höher;SVBüro-Strasser;Nord;35;110;20;8;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Spätblühende Trauben-Kirsche;Prunus serotina;1-normal;5-abgestorben;2-Erwachsener Baum;606f146a-0ee7-41f7-8c0f-bf02a99dcec9;1.005;3458148,72917309;5439943,0847673;14.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben)
22;CO;70.01;SW;1-höher;R.Kastner;Ost;50;157;17;14;1970;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Stiel-Eiche;Quercus robur;1-normal;1-vital;2-Erwachsener Baum;1956ee87-2fdb-4173-ab35-f310bee82251;;3458537,513;5431661,724;07.11.2017;;;01-Verletzung;
22;00;;Sammelpunkt IMVT;1-höher;SVBüro-Strasser;Nord;37;116;14;9;1975;2019-03;1-verkehrssicher;;2-deutliche Schäden;1-leichte Schäden;1-leichte Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;1-vital;2-Erwachsener Baum;2338b62b-9eb2-47ce-a15b-46e7f918ee74;;3458563,57612587;5440218,29247586;06.06.2018;01-Verletzung;01-Verletzung;01-Verletzung;
