Baumnummer;Bereich;Haus-Nr;Genauer Standort;Sicherheitserwartung;Benutzer;Campus;St-Du (cm);St-U (cm);Höhe (m);Kronen-DM (m);Pflanzjahr;nächste Kontrolle;Verkehrssicherheit;Sonstiges;Bewertung Wurzeln;Bewertung Stamm;Bewertung Krone;Art deutsch;Art botanisch;Kronenform;Vitalität;Physiologie;GUID_Baum;Baumfläche;RW;HW;Kontrolldatum;Symptome Wurzeln;Symptome Stamm;Symptome Krone;Maßnahme
3267;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;44;138;19;8;1970;2019-03;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;0-keine Schäden;Rot-Fichte;Picea abies;1-normal;1-vital;2-Erwachsener Baum;1e3ad1c1-b88d-4d3c-80ef-c0995fb58aba;;3458413,727;5440083,183;18.05.2018;01-Verletzung;;;
3268;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;34;107;13;8;198;2019-03;1-verkehrssicher;;1-leichte Schäden;1-leichte Schäden;1-leichte Schäden;Gem. Rosskastanie;Aesculus hippocastanum;1-normal;1-vital;2-Erwachsener Baum;9451025b-486d-4525-9250-60669a02869c;;3458413,607;5440078,387;18.05.2018;01-Verletzung;05-V-Vergabelung;01-Verletzung;
3269;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;40;126;20;9;1975;2019-03;4-nicht verkehrssicher;;3-erhebliche Schäden;0-keine Schäden;3-erhebliche Schäden;Weiss-/Sandbirke;Betula pendula;1-normal;5-abgestorben;4-Schadbaum;42aa1bb3-f610-4320-87ed-521dbe9b34fb;;3458421,611;5440090,265;18.05.2018;02-Höhlung;;08-Wipfeldürre, 01-Verletzung;b12-Fällung (3-wichtig) (Im Herbst fällen, als Biotopbaum erhalten )
3270;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;63;198;23;15;1935;2019-03;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;1-leichte Schäden;Trauben-Eiche;Quercus petraea;1-normal;2-geschwächt;3-Altbaum;67cd2950-0d18-4bfc-8534-f9a4c866c623;;3458428,132;5440089,306;18.05.2018;01-Verletzung;;01-Verletzung;
3271;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;43;135;18;10;1970;2019-03;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;1-leichte Schäden;Sommer-Linde;Tilia platyphyllos;1-normal;1-vital;2-Erwachsener Baum;f2a58f5c-ff62-4217-a103-309feac8e3fe;;3458432,543;5440078,182;18.05.2018;01-Verletzung;;01-Verletzung;
3272;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;39;123;17;11;1970;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Trauben-Eiche;Quercus petraea;1-normal;2-geschwächt;2-Erwachsener Baum;54cae5c2-5baa-4e4a-bd97-cb2ebd03cabc;;3458437,786;5440080,356;18.05.2018;;;08-Wipfeldürre;
3273;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;36;113;17;13;1980;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Rot-Eiche;Quercus rubra;1-normal;1-vital;2-Erwachsener Baum;291f30b4-870d-45eb-a20d-48379e63b621;;3458441,621;5440080,036;18.05.2018;;;;
3274;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;51;160;15;12;1960;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Trauben-Eiche;Quercus petraea;1-normal;2-geschwächt;2-Erwachsener Baum;5ae1a487-8e00-4a2d-b112-fb0ea0323d63;;3458451,723;5440080,867;18.05.2018;;;01-Verletzung, 08-Wipfeldürre;
3275;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;34;107;20;8;1975;2019-03;3-wiederherstellbar;;0-keine Schäden;1-leichte Schäden;2-deutliche Schäden;Berg-Ahorn;Acer pseudoplatanus;1-normal;3-sehr geschwächt;2-Erwachsener Baum;b18865e9-db73-4fbc-acd0-2e8ba2c91027;;3458455,834;5440071,802;18.05.2018;;01-Verletzung;08-Wipfeldürre, 01-Verletzung, 07-Totholz;b06-Totholzbeseitigung (3-wichtig)
3276;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;64;201;23;15;1960;2019-03;3-wiederherstellbar;;1-leichte Schäden;1-leichte Schäden;1-leichte Schäden;Rot-Eiche;Quercus rubra;1-normal;1-vital;2-Erwachsener Baum;fb12d788-06a3-4435-b301-62e57d7e7b34;;3458462,884;5440069,703;18.05.2018;01-Verletzung;01-Verletzung;01-Verletzung, 07-Totholz;b06-Totholzbeseitigung (3-wichtig)
3277;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;35;110;17;9;1975;2019-03;1-verkehrssicher;;1-leichte Schäden;1-leichte Schäden;1-leichte Schäden;Berg-Ahorn;Acer pseudoplatanus;1-normal;2-geschwächt;2-Erwachsener Baum;857556c1-690d-4ef2-a4e2-2856e2cbd70f;;3458463,761;5440059,602;18.05.2018;01-Verletzung;02-Höhlung;01-Verletzung, 08-Wipfeldürre;
