"STANDORTNR";"KENNZEICH";"NAMENR";"ART_DTSCH";"ART_BOT";"GATTUNG_DEUTSCH";"GATTUNG";"STRNAME";"HAUSNR";"PFLANZJAHR";"STANDALTER";"KRONEDURCH";"STAMMUMFG";"BAUMHOEHE";"BEZIRK";"EIGENTUEMER";"ZUSATZ";"X_VALUE";"Y_VALUE"
"21/50 -184";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389914.4373;5819596.1357
"21/52 -186";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389923.5351;5819603.5751
"21/53 -187";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389915.2238;5819604.3641
"21/55 -189";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389924.4114;5819612.0537
"21/54 -188";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389916.142;5819612.842
"21/56 -190";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;"068";389925.202;5819620.45
"21/57 -191";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;"069";389916.8915;5819621.281
"21/36 -170";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389916.8842;5819537.6409
"21/37 -171";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389908.4487;5819538.6823
"21/39 -173";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389917.7273;5819545.7952
"21/38 -172";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389909.2819;5819546.7368
"21/40 -174";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389918.5496;5819553.7509
"21/41 -175";171400;Ebertstraße Mitte;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Ebertstraße;21;2008;11;3;30;7.5;Mitte;Land Berlin;;389910.1042;5819554.6925
