"Campus";"Hausnummer";"Baumnummer";"Genauer Standort";"Art deutsch";"Art botanisch";"Einzelbaum/Gruppe";"Anzahl Bäume (Gruppe)";"Datum Kontrolle";"Nächste Kontrolle";"Kontrolleur";"Verkehrssicherheit";"Funktion";"Vitalität";"Physiologie";"O Stamm";"Höhe";"Ø Krone";"Pflanzjahr";"Symptom Wurzel";"Bewertung Wurzel";"Symptom Stamm";"Bewertung Stamm";"Symptom Krone";"Bewertung Krone";"Kronenform";"Symptom Gruppe";"Bewertung Gruppe";"Bereich";"Koordinate X";"Koordinate Y";"lilalu";"Height_DEM";"tüdldü";"tudldu"
Nord;;119;Ausgang Nord;Linde;Tilia x;Einzelbaum;;"22.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";69;10;6;1995;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"00";3458971.04512623;5441668.77147669;"00012D16000041B2C685CD634A41C4DF5F3121C2544141B2C685CD634A41C4DF5F3121C254417C0100000041B2C685CD634A41C4DF5F3121C25441FE";110.08952881608049;;
Nord;;2085;Bank;Feld-Ahorn;Acer campestre;Einzelbaum;;"20.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";53;4;4;2000;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"02";3458393.309;5439540.313;"00012D160000DF4F8DA7AC624A41273108140DC05441DF4F8DA7AC624A41273108140DC054417C01000000DF4F8DA7AC624A41273108140DC05441FE";111.14237567318865;;
Nord;;2168;Büchenauerstr.;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"02.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"3-geringer";"1-vital";"2-Erwachsener Baum";72;7;6;2000;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"02";3458659.277;5439465.363;"00012D1600006ABC74A331634A415A643B57FABF54416ABC74A331634A415A643B57FABF54417C010000006ABC74A331634A415A643B57FABF5441FE";110.44778592943854;;
Nord;;3086;Gebäude 305;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"23.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";154;23;12;1955;;"0-keine Schäden";;"0-keine Schäden";"14-Baumfremder Bewuchs";"1-leichte Schäden";"1-normal";;;"03";3458299.90112561;5439882.22347568;"00012D160000801558F37D624A41F06C4D8E62C05441801558F37D624A41F06C4D8E62C054417C01000000801558F37D624A41F06C4D8E62C05441FE";111.1166521614832;;
Nord;;4;Eingang;Vogel-, Süss-Kirsche;Prunus avium;Einzelbaum;;"16.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";107;10;8;1985;"01-Verletzung | 02-Höhlung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"00";3458348.17025134;5439611.38195104;"00012D160000C1CBCA1596624A41C6E271D81EC05441C1CBCA1596624A41C6E271D81EC054417C01000000C1CBCA1596624A41C6E271D81EC05441FE";110.70969333626407;;
Nord;;4156;Gebäude 425;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"26.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";119;14;8;1980;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";"01-Verletzung | 08-Wipfeldürre | 11-Astab-/ausbruch | 12-ungünst. Kronenaufbau";"1-leichte Schäden";"1-normal";;;"04";3458716.53912605;5439869.10647565;"00012D160000191502454E634A413F7FD0465FC05441191502454E634A413F7FD0465FC054417C01000000191502454E634A413F7FD0465FC05441FE";110.53735570957367;;
Nord;;1162;Präsidium;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"17.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";167;19;13;1960;;"0-keine Schäden";"09-Schrägstand";"1-leichte Schäden";"01-Verletzung | 14-Baumfremder Bewuchs";"1-leichte Schäden";"2-einseitig";;;"01";3458367.62912568;5439781.89647561;"00012D160000B63087D09F624A413DDB5F7949C05441B63087D09F624A413DDB5F7949C054417C01000000B63087D09F624A413DDB5F7949C05441FE";110.86624148604345;;
Nord;;6168;Gebäude 681;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"10.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"3-sehr geschwächt";"2-Erwachsener Baum";101;13;8;1970;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";"07-Totholz | 08-Wipfeldürre";"0-keine Schäden";"1-normal";;;"06";3458680.32525196;5440559.1599521;"00012D16000032DBA1293C634A41BCA73CCA0BC1544132DBA1293C634A41BCA73CCA0BC154417C0100000032DBA1293C634A41BCA73CCA0BC15441FE";110.35216244842786;;
Nord;;6277;Gebäude 693;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"10.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";97;12;11;1985;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";"01-Verletzung";"1-leichte Schäden";"3-ausladend";;;"06";3458889.1601262;5440512.25647602;"00012D160000EC037F94A4634A41661A6A1000C15441EC037F94A4634A41661A6A1000C154417C01000000EC037F94A4634A41661A6A1000C15441FE";110.7097399265121;;
Nord;;6164;Gebäude 681;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"10.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";113;15;10;1970;"01-Verletzung";"2-deutliche Schäden";;"0-keine Schäden";"01-Verletzung | 08-Wipfeldürre | 11-Astab-/ausbruch";"2-deutliche Schäden";"1-normal";;;"06";3458675.88712597;5440541.00247604;"00012D16000002588DF139634A414491284007C1544102588DF139634A414491284007C154417C0100000002588DF139634A414491284007C15441FE";110.23969366519303;;
Nord;;4075;Karlsruher Allee;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"18.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";135;15;12;1985;"01-Verletzung";"1-leichte Schäden";"01-Verletzung | 05-V-Vergabelung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"04";3458868.974;5439761.453;"00012D1600003108AC7C9A634A41B6F3FD5C44C054413108AC7C9A634A41B6F3FD5C44C054417C010000003108AC7C9A634A41B6F3FD5C44C05441FE";110.91838965408273;;
Nord;;4344;Gebäude 445;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"26.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";123;15;10;1980;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"04";3458731.647;5439959.778;"00012D16000060E5D0D255634A4183C0CAF175C0544160E5D0D255634A4183C0CAF175C054417C0100000060E5D0D255634A4183C0CAF175C05441FE";110.43890056394976;;
Nord;;10037;Nordeingang;Rotbuche;Fagus sylvatica;Einzelbaum;;"14.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"3-sehr geschwächt";"2-Erwachsener Baum";104;20;10;1970;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 08-Wipfeldürre";"2-deutliche Schäden";"1-normal";;;"10";3459092.053;5442051.203;"00012D16000039B4C8060A644A41B6F3FDCC80C2544139B4C8060A644A41B6F3FDCC80C254417C0100000039B4C8060A644A41B6F3FDCC80C25441FE";0;;
Nord;;3289;Gebäude 341;Schwarznuss;Juglans nigra;Einzelbaum;;"24.09.2019";"2020 Q2";Zapf;"1-verkehrssicher";"2-normal";"2-geschwächt";"4-Schadbaum";110;18;9;1985;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"08-Wipfeldürre";"3-erhebliche Schäden";"1-normal";;;"03";3458473.78812578;5440039.55447576;"00012D160000394EE1E4D4624A41E6877CE389C05441394EE1E4D4624A41E6877CE389C054417C01000000394EE1E4D4624A41E6877CE389C05441FE";110.40904448663036;;
Nord;;4283;Friedrichstaler Straße ;Stiel-Eiche;Quercus robur;Einzelbaum;;"07.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";88;14;10;1985;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458946.189;5439834.751;"00012D160000E9263118C1634A414E6210B056C05441E9263118C1634A414E6210B056C054417C01000000E9263118C1634A414E6210B056C05441FE";110.42983294311934;;
Nord;;10053;Nordeingang;Rotbuche;Fagus sylvatica;Einzelbaum;;"14.10.2019";"2020 Q3";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"3-Altbaum";167;25;13;1935;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 11-Astab-/ausbruch";"1-leichte Schäden";"2-einseitig";;;"10";3459109.91;5442128.417;"00012D16000048E17AF412644A41C520B01A94C2544148E17AF412644A41C520B01A94C254417C0100000048E17AF412644A41C520B01A94C25441FE";0;;
