Campus,Hausnummer,Baumnummer,Genauer Standort,Art deutsch,Art botanisch,Einzelbaum/Gruppe,Anzahl Bäume (Gruppe),Datum Kontrolle,Nächste Kontrolle,Kontrolleur,Verkehrssicherheit,Funktion,Vitalität,Physiologie,O Stamm,Höhe,Ø Krone,Pflanzjahr,Symptom Wurzel,Bewertung Wurzel,Symptom Stamm,Bewertung Stamm,Symptom Krone,Bewertung Krone,Kronenform,Symptom Gruppe,Bewertung Gruppe,Bereich,Koordinate X,Koordinate Y,Height_DEM,tree_h_pointcloud,crown_height_pointcloud
Nord,,"6032",Blankenlocher Straße ,Hainbuche,Carpinus betulus,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"119","13","9","1985",,0-keine Schäden,01-Verletzung | 05-V-Vergabelung,2-deutliche Schäden,,0-keine Schäden,1-normal,,,"06",3458781.627,5440318.976,110.323966462822,9.86714464828908,8.52000000000001
Nord,,"127",Ausgang Nord,Linde,Tilia x,Einzelbaum,,22.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"75","9","5","1995",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"00",3458957.79612622,5441672.64747669,110.287372858198,,
Ost,"70.04","124",NO,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,04.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"129","13","6","1965",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 12-ungünst. Kronenaufbau,2-deutliche Schäden,3-ausladend,,,CO,3458691.47812637,5431892.80747095,0,,
Ost,"70.01","22",SW,Stiel-Eiche,Quercus robur,Einzelbaum,,04.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"157","17","14","1970",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung | 07-Totholz,1-leichte Schäden,1-normal,,,CO,3458537.51312622,5431661.72447081,0,,
Nord,,"2117",KITA,Sal-Weide,Salix caprea,Einzelbaum,,19.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"66","4","6","2005",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"02",3458547.71012589,5439422.9114754,111.759641705601,5.33035829439871,4.82142857142857
Ost,"70.03","97",NO,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,04.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"145","17","8","1965",,0-keine Schäden,09-Schrägstand,1-leichte Schäden,14-Baumfremder Bewuchs,1-leichte Schäden,1-normal,,,CO,3458660.68212634,5431842.15347091,0,,
Nord,,"1139",Präsidium,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,17.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"138","24","10","1960",,0-keine Schäden,,0-keine Schäden,14-Baumfremder Bewuchs,1-leichte Schäden,1-normal,,,"01",3458350.49412567,5439743.34247559,110.883704786353,22.4726781923705,18.5510638297873
Nord,,"2101",KITA,Schwarz-Kiefer,Pinus nigra,Einzelbaum,,19.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"132","19","11","1975",,0-keine Schäden,01-Verletzung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"02",3458499.301,5439412.646,110.799148377703,15.5774587651541,12.5442857142858
Nord,,"21",Sammelpunkt IMVT,Gem. Rosskastanie,Aesculus hippocastanum,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"97","10","6","1975",,0-keine Schäden,02-Höhlung,1-leichte Schäden,01-Verletzung,2-deutliche Schäden,1-normal,,,"00",3458561.38512587,5440208.59147586,110.696321903853,,
Ost,"23","73",Mitte,Scheinzypresse,Chamaecyparis,Einzelbaum,,05.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"91","10","3","1985",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,CO,3458549.19412623,5431753.48347087,0,,
Nord,,"3151",Gebäude 330,Weiss-Tanne,Abies alba,Einzelbaum,,25.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"119","14","6","1995",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"03",3458163.484,5440014.32,110.345758334549,10.4467416654508,8.23124999999999
Ost,"46","59",O,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,04.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"160","18","9","1970",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,CO,3458640.13812632,5431780.83347088,0,,
Ost,"70.22","156",N,Weiss-/Sandbirke,Betula pendula,Einzelbaum,,04.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"31","8","4","2005",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,CO,3458579.36312625,5432062.93847105,0,,
Nord,,"4312",Gebäude 451,Blut-Buche,Fagus sylvatica 'Atropunicea',Einzelbaum,,27.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"116","21","12","1970",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458760.17512609,5439955.0904757,110.372390624853,14.4090379465754,13.7
Nord,,"1046",Fortbildungszentrum,Linde,Tilia x,Einzelbaum,,20.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,2-geschwächt,2-Erwachsener Baum,"57","11","8","1995",,0-keine Schäden,,0-keine Schäden,08-Wipfeldürre | 11-Astab-/ausbruch,1-leichte Schäden,1-normal,,,"01",3458239.43425112,5439550.07095096,111.433148208526,5.46185179147429,4.435
Nord,,"7112",Gebäude 727,Robinie,Robinia pseudoacacia,Einzelbaum,,11.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"123","16","11","1975",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"07",3458687.322,5440723.699,110.008697448036,12.8454692186305,12.195
Nord,,"2159",Büchenauerstr.,Gem. Rosskastanie,Aesculus hippocastanum,Einzelbaum,,02.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"129","13","7","1985",01-Verletzung,1-leichte Schäden,02-Höhlung,2-deutliche Schäden,,0-keine Schäden,1-normal,,,"02",3458592.558,5439568.798,110.620364467652,8.30130219901447,6.91833333333334
Ost,"70.01","18",SW,Hainbuche,Carpinus betulus,Einzelbaum,,04.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"116","13","11","1970",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung | 07-Totholz,1-leichte Schäden,2-einseitig,,,CO,3458528.93812621,5431685.14847083,0,,
Nord,,"9011",Parkplatz ggü. Joint Research Center ,Schwarz-Kiefer,Pinus nigra,Einzelbaum,,11.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"220","21","15","1950",01-Verletzung,1-leichte Schäden,,0-keine Schäden,01-Verletzung | 14-Baumfremder Bewuchs,1-leichte Schäden,1-normal,,,"09",3458735.97412602,5440949.65347628,110.478802152986,16.5365426746006,13.7936206896551
Nord,,"1263",Medizinische Dienste,Weiss-/Sandbirke,Betula pendula,Einzelbaum,,16.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"94","15","8","1985",,0-keine Schäden,01-Verletzung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"01",3458190.200251,5439617.18995105,110.737728561058,13.3522714389424,10.395
Nord,,"1138",Präsidium,Spitz-Ahorn,Acer platanoides,Einzelbaum,,17.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"97","18","14","1970",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,3-ausladend,,,"01",3458346.85912566,5439743.09647559,111.101404598095,22.9921181291774,20.3329545454545
Nord,,"5068",Gebäude 526,Rot-Eiche,Quercus rubra,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"160","21","16","1965",,0-keine Schäden,02-Höhlung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"05",3458523.72012583,5440145.09747582,110.518165987706,15.2228340122943,13.918
Nord,,"4178",Gebäude 424,Linde,Tilia x,Einzelbaum,,26.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"72","13","6","1995",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"04",3458626.003,5439863.558,110.984748505377,18.2266800660519,16.5985714285714
Nord,,"2014",Kantine,Hainbuche,Carpinus betulus,Einzelbaum,,20.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"97","13","11","1985",,0-keine Schäden,02-Höhlung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"02",3458334.9,5439484.506,110.817860954257,19.760962575155,17.0941176470588
Nord,,"1064",Einfahrt,Hainbuche,Carpinus betulus,Einzelbaum,,16.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"57","9","7","2000",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"01",3458326.57112565,5439607.61447551,110.901907455459,14.6297592112078,12.945
Nord,,"2158",Büchenauerstr.,Gem. Rosskastanie,Aesculus hippocastanum,Einzelbaum,,02.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"107","11","6","1985",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"02",3458581.985,5439572.131,110.659929765884,7.72007023411625,6.00749999999999
Nord,,"1249",Gebäude 142,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,17.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"148","25","11","1960",,0-keine Schäden,01-Verletzung,1-leichte Schäden,14-Baumfremder Bewuchs,1-leichte Schäden,1-normal,,,"01",3458234.05025108,5439753.4439512,110.638209688168,19.1734569784988,15.7054545454546
Nord,,"6114",Fremdfirmengelände,Rotbuche,Fagus sylvatica,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"167","22","15","1960",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"06",3458842.40912616,5440200.02747583,110.222494984153,14.7362322885747,13.9485454545454
Nord,,"10006",Nordeingang,Rotbuche,Fagus sylvatica,Einzelbaum,,14.10.2019,2020 Q3,Zapf,1-verkehrssicher,1-höher,2-geschwächt,3-Altbaum,"151","27","15","1935",,0-keine Schäden,,0-keine Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"10",3459027.315,5441839.41,109.542693927229,24.4304878909524,21.060606060606
Ost,"43","226",W,Hainbuche,Carpinus betulus,Einzelbaum,,19.11.2019,2020 Q3,Holzheuer,1-verkehrssicher,2-normal,4-abgängig,4-Schadbaum,"251","6","7","1940",,0-keine Schäden,01-Verletzung | 09-Schrägstand | 10-Baumfremder Bewuchs,3-erhebliche Schäden,08-Wipfeldürre | 10-Kappung | 14-Baumfremder Bewuchs,3-erhebliche Schäden,5-gekappt,,,CO,3458404.95525214,5431961.69094199,0,,
Nord,,"82",Nördlich Turm,Gem. Rosskastanie,Aesculus hippocastanum,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"192","17","13","1960",,0-keine Schäden,,0-keine Schäden,01-Verletzung,2-deutliche Schäden,1-normal,,,"00",3458691.88712598,5440673.15847612,109.90938741177,12.3818625882298,10.26125
Nord,,"6285",ggü. Gebäude 684,Spitz-Ahorn,Acer platanoides,Einzelbaum,,09.10.2019,2020 Q3,Zapf,1-verkehrssicher,1-höher,1-vital,4-Schadbaum,"69","12","6","1990",,0-keine Schäden,01-Verletzung,3-erhebliche Schäden,,0-keine Schäden,1-normal,,,"06",3458816.31,5440545.031,110.614294716658,4.00570528334249,3.04000000000001
Ost,"70.25","238",W,Robinie,Robinia pseudoacacia,Einzelbaum,,05.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,2-normal,2-geschwächt,2-Erwachsener Baum,"126","13","10","1980",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,CO,3458442.64312611,5431886.87147095,0,,
Nord,,"1073",Kantine,Hainbuche,Carpinus betulus,Einzelbaum,,19.11.2019,2021 Q2,Holzheuer,3-wiederherstellbar,1-höher,3-sehr geschwächt,2-Erwachsener Baum,"72","13","8","1990",01-Verletzung,1-leichte Schäden,,0-keine Schäden,07-Totholz | 08-Wipfeldürre | 10-Kappung,2-deutliche Schäden,4-reduziert,,,"01",3458359.86437704,5439658.81142662,110.463274963762,13.6147250362375,11.76
Nord,,"75",Turm,Rotbuche,Fagus sylvatica,Einzelbaum,,09.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"232","19","14","1950",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 05-V-Vergabelung,1-leichte Schäden,1-normal,,,"00",3458645.71412595,5440472.057476,110.026435892311,17.5428498219751,12.4155357142857
Nord,,"6014",Gebäude 615,Spitz-Ahorn,Acer platanoides,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"66","9","6","1995",,0-keine Schäden,04-Riss/Rippe,2-deutliche Schäden,,0-keine Schäden,1-normal,,,"06",3458624.742,5440322.636,110.801235627274,1.17876437272569,0.600000000000009
Nord,,"6046",Gebäude 618,Baum-Hasel,Corylus colurna,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,3-geringer,1-vital,2-Erwachsener Baum,"123","13","8","1985",,0-keine Schäden,01-Verletzung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"06",3458772.325,5440235.271,110.399204280861,11.0435229918666,8.7090909090909
Nord,,"1031",Fortbildungszentrum ,Linde,Tilia x,Einzelbaum,,20.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"116","15","11","1975",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 11-Astab-/ausbruch,1-leichte Schäden,1-normal,,,"01",3458299.44412562,5439566.20347549,110.92511759753,8.2475490691362,7.27266666666668
Nord,,"1324",Landesstraße,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,20.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"126","28","9","1960",08-Belagsanhebung,1-leichte Schäden,,0-keine Schäden,,0-keine Schäden,2-einseitig,,,"01",3458031.57112535,5439419.95147542,110.606808742715,26.247401783601,22.2415789473684
Ost,"70.16","249",W,,,Baumgruppe,,05.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,3-geringer,1-vital,2-Erwachsener Baum,"119","10","9","1990",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,CO,3458397.02612607,5431784.1674709,0,,
Nord,,"6013",Gebäude 611,Spitz-Ahorn,Acer platanoides,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"63","8","7","1995",,0-keine Schäden,,0-keine Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"06",3458621.193,5440309.419,110.851003513131,1.84899648686918,0.993333333333339
Nord,,"1151",Präsidium,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,17.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"135","22","11","1960",,0-keine Schäden,,0-keine Schäden,14-Baumfremder Bewuchs,1-leichte Schäden,1-normal,,,"01",3458354.82812567,5439761.3304756,111.069671525381,21.3416492293364,17.4775471698114
Nord,,"6207",Gebäude 681,Hainbuche,Carpinus betulus,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,3-geringer,1-vital,2-Erwachsener Baum,"50","10","8","2000",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"06",3458772.802,5440496.715,110.726710427413,2.48328957258738,1.09999999999999
Nord,,"1317",Landesstraße ,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,20.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"129","29","11","1960",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"01",3458064.75112538,5439415.86347541,110.677280265125,25.4566327783531,15.2865217391305
Nord,,"1042",Fortbildungszentrum,Robinie,Robinia pseudoacacia,Einzelbaum,,20.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"154","17","12","1975",,0-keine Schäden,05-V-Vergabelung,1-leichte Schäden,05-V-Vergabelung,2-deutliche Schäden,1-normal,,,"01",3458248.70612557,5439573.72647549,111.79596331417,8.50153668582999,7.65875000000001
Nord,,"4039",Eggensteinerstraße,Schwarznuss,Juglans nigra,Einzelbaum,,23.09.2019,2021 Q1,Zapf,1-verkehrssicher,3-geringer,2-geschwächt,2-Erwachsener Baum,"123","18","14","1970",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 02-Höhlung,0-keine Schäden,1-normal,,,"04",3458564.304,5439797.035,110.77643178159,14.0965682184102,13.332
Nord,,"6159",Fremdfirmengelände,Spitz-Ahorn,Acer platanoides,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"72","11","6","2000",01-Verletzung,2-deutliche Schäden,01-Verletzung | 08-Fremdkörper,1-leichte Schäden,,0-keine Schäden,1-normal,,,"06",3458882.168,5440126.241,110.057751695884,3.72653401840186,2.90714285714286
Ost,"70.04","131",NO,Schwarz-Kiefer,Pinus nigra,Einzelbaum,,04.02.2019,2021 Q3,R.Kastner,1-verkehrssicher,2-normal,1-vital,1-Jungbaum,"22","3","1","2016",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,CO,3458675.66212636,5431917.89047096,0,,
Nord,,"4005",Leopoldshafener Allee,"Vogel-, Süss-Kirsche",Prunus avium,Einzelbaum,,20.09.2019,2020 Q2,Zapf,1-verkehrssicher,1-höher,3-sehr geschwächt,4-Schadbaum,"160","16","10","1970",,0-keine Schäden,01-Verletzung | 02-Höhlung,1-leichte Schäden,08-Wipfeldürre | 10-Kappung,3-erhebliche Schäden,5-gekappt,,,"04",3458460.26325156,5439790.84295123,110.799788888354,12.7779383843728,12.0763636363636
Nord,,"3045",Gebäude 304,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,25.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"129","21","6","1980",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 14-Baumfremder Bewuchs,1-leichte Schäden,2-einseitig,,,"03",3458246.762,5439930.125,110.746953291514,15.9003800418191,15.004
Ost,"70.04","129",NO,Stiel-Eiche,Quercus robur,Einzelbaum,,04.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"220","18","13","1960",,0-keine Schäden,,0-keine Schäden,07-Totholz,1-leichte Schäden,1-normal,,,CO,3458679.77312636,5431918.23847096,0,,
Nord,,"3267",Gebäude 341,Rot-Fichte,Picea abies,Einzelbaum,,24.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"138","19","8","1970",01-Verletzung,1-leichte Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"03",3458413.727,5440083.183,110.338298828584,15.6912011714162,12.5895
Nord,,"3293",Gebäude 341,Berg-Ahorn,Acer pseudoplatanus,Einzelbaum,,24.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,2-geschwächt,2-Erwachsener Baum,"97","14","9","1985",,0-keine Schäden,01-Verletzung,1-leichte Schäden,08-Wipfeldürre,1-leichte Schäden,1-normal,,,"03",3458482.941,5440053.162,110.410112023708,12.7398879762918,12.07
Nord,,"10005",Nordeingang,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,14.10.2019,2020 Q3,Zapf,1-verkehrssicher,1-höher,1-vital,3-Altbaum,"138","28","12","1935",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,,0-keine Schäden,1-normal,,,"10",3459026.189,5441838.997,109.510836559918,24.7250818074291,22.1948979591837
Nord,,"6163",Gebäude 681,Spitz-Ahorn,Acer platanoides,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"148","15","12","1970",01-Verletzung,1-leichte Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"06",3458673.50912597,5440533.00647604,110.226454637813,10.9785453621875,10.26
Nord,,"4238",Gebäude 436 ,Eschen-Ahorn,Acer negundo,Einzelbaum,,07.10.2019,2021 Q2,Zapf,1-verkehrssicher,3-geringer,1-vital,2-Erwachsener Baum,"138","16","11","1980",,0-keine Schäden,01-Verletzung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"04",3458790.348,5439874.998,111.499802812816,12.4151971871837,11.616
Nord,,"2227",Gebäudemanagement,Weiss-/Sandbirke,Betula pendula,Einzelbaum,,02.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"119","19","11","1975",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,,,,"02",3458725.17,5439551.994,110.570135296516,13.9748647034838,13.445
Nord,,"2006",Kantine,Hainbuche,Carpinus betulus,Einzelbaum,,19.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"82","17","12","1980",01-Verletzung,1-leichte Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung | 08-Wipfeldürre,1-leichte Schäden,1-normal,,,"02",3458328.36912566,5439446.30847542,110.829117306879,15.8283826931213,13.9233333333333
Nord,,"1066",Einfahrt,Blut-Buche,Fagus sylvatica 'Atropunicea',Einzelbaum,,16.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"123","17","12","1975",,0-keine Schäden,01-Verletzung,1-leichte Schäden,08-Wipfeldürre,1-leichte Schäden,1-normal,,,"01",3458317.01425128,5439620.95395104,110.969852202426,13.9286093360353,12.3834615384615
Nord,,"4215",Weingartener Straße ,Serbische Fichte,Picea omorika,Einzelbaum,,07.10.2019,2021 Q2,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"82","15","5","1990",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458834.146,5439889.33,110.748684299996,9.26731570000381,8.441
Nord,,"89",Nördlich Turm,Gem. Rosskastanie,Aesculus hippocastanum,Einzelbaum,,11.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"123","14","7","1970",,0-keine Schäden,01-Verletzung | 02-Höhlung,2-deutliche Schäden,,0-keine Schäden,1-normal,,,"00",3458720.37412601,5440776.14047618,109.915088862498,,
Nord,,"32",Turm,Spitz-Ahorn,Acer platanoides,Einzelbaum,,10.10.2019,2020 Q3,Zapf,1-verkehrssicher,2-normal,2-geschwächt,4-Schadbaum,"72","13","9","1995",04-Bodenverdichtung,1-leichte Schäden,02-Höhlung,3-erhebliche Schäden,,0-keine Schäden,1-normal,,,"00",3458587.43412589,5440291.7874759,110.824830195265,18.2978364714021,16.684
Nord,,"1275",Medizinische Dienste,Japanische Lärche,Larix kaempferi,Einzelbaum,,16.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"129","19","10","1975",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"01",3458237.91612556,5439583.80747551,110.59954072378,12.4650047307655,10.3790909090909
Nord,,"6030",Blankenlocher Straße ,Stiel-Eiche,Quercus robur,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"148","17","16","1965",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,3-ausladend,,,"06",3458762.138,5440324.666,110.108985841007,12.0940576372537,10.214347826087
Nord,,"1282",Medizinische Dienste,Linde,Tilia x,Einzelbaum,,16.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"185","14","10","1965",,0-keine Schäden,01-Verletzung | 05-V-Vergabelung | 10-Baumfremder Bewuchs,2-deutliche Schäden,10-Kappung,2-deutliche Schäden,5-gekappt,,,"01",3458223.86412554,5439647.35747554,110.661758950429,8.18324104957132,7.565
Nord,,"2137",KITA,Europ. Lärche,Larix decidua,Einzelbaum,,19.09.2019,2021 Q1,Zapf,3-wiederherstellbar,1-höher,1-vital,2-Erwachsener Baum,"157","20","11","1975",,0-keine Schäden,10-Baumfremder Bewuchs,1-leichte Schäden,07-Totholz,1-leichte Schäden,1-normal,,,"02",3458515.27512585,5439453.15347541,110.883688600271,14.4763113997288,12.84375
Nord,,"101",Joint Research Center,Gem. Rosskastanie,Aesculus hippocastanum,Einzelbaum,,11.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"47","5","5","2005",01-Verletzung,1-leichte Schäden,,0-keine Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"00",3458788.62212607,5441019.97447632,110.106246027011,,
Nord,,"9014",Parkplatz ggü. Joint Research Center ,Spitz-Ahorn,Acer platanoides,Einzelbaum,,11.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"138","15","12","1970",,0-keine Schäden,01-Verletzung | 02-Höhlung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,3-ausladend,,,"09",3458728.63825202,5440918.96795252,110.240117391802,12.1998826081976,11.48
Nord,,"4037",Eggensteinerstraße,Rot-Eiche,Quercus rubra,Einzelbaum,,23.09.2019,2021 Q1,Zapf,1-verkehrssicher,3-geringer,1-vital,2-Erwachsener Baum,"239","20","15","1970",,0-keine Schäden,01-Verletzung | 05-V-Vergabelung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"04",3458551.11912588,5439797.57747561,110.858683178898,16.4248462328667,15.5870588235294
Nord,,"3178",Gebäude 315,Mammutbaum,Sequoiadendron giganteum,Einzelbaum,,26.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"295","21","8","1970",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"03",3458232.11212553,5440043.41647577,109.93238520335,16.8027663118011,15.1775757575757
