"Baumnummer";"St-Du (cm)";"St-U (cm)";"Höhe (m)";"Kronen-DM (m)";"GUID_Baum";"RW";"HW";"CityGML_Species_Code";"CityGML_Class_Code";"Height_DEM"
1;20;94;28;7;"146a361b-7bf6-4915-b0f9-4c4081490fb0";3458120.368;5439477.415;3510;1060;110.96193395428244
1;29;91;12;6;"8d693bc0-752a-4f47-bb80-4f4866601ff9";3458298.51212563;5439393.76647539;2710;1070;110.8229474277365
