"Campus";"Hausnummer";"Baumnummer";"Genauer Standort";"Art deutsch";"Art botanisch";"Einzelbaum/Gruppe";"Anzahl Bäume (Gruppe)";"Datum Kontrolle";"Nächste Kontrolle";"Kontrolleur";"Verkehrssicherheit";"Funktion";"Vitalität";"Physiologie";"O Stamm";"Höhe";"Ø Krone";"Pflanzjahr";"Symptom Wurzel";"Bewertung Wurzel";"Symptom Stamm";"Bewertung Stamm";"Symptom Krone";"Bewertung Krone";"Kronenform";"Symptom Gruppe";"Bewertung Gruppe";"Bereich";"Koordinate X";"Koordinate Y";"height_default"
Nord;;2280;Neureuter Straße;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"18.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";113;13;7;1985;;"0-keine Schäden";"01-Verletzung | 09-Schrägstand";"1-leichte Schäden";"11-Astab-/ausbruch";"1-leichte Schäden";"2-einseitig";;;"02";3458586.263;5439692.987;118
Nord;;3075;Gebäude 305;Douglasie;Pseudotsuga menziesii;Einzelbaum;;"25.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";94;19;5;1985;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"03";3458301.666;5439918.592;118
Nord;;2288;Neureuter Straße;Hainbuche;Carpinus betulus;Einzelbaum;;"16.09.2019";"2021 Q1";null;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";110;10;6;1995;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 10-Kappung";"2-deutliche Schäden";"1-normal";;;"02";3458523.23;5439659.11;118
Nord;;2172;Büchenauerstr.;Schwarz-Kiefer;Pinus nigra;Einzelbaum;;"02.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";132;15;11;1985;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"02";3458641.37012598;5439535.45147545;118
Nord;;2112;KITA;Schwarz-Kiefer;Pinus nigra;Einzelbaum;;"19.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";142;18;10;1975;;"0-keine Schäden";"01-Verletzung | 05-V-Vergabelung";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"02";3458539.56112588;5439405.87247539;118
Nord;;119;Ausgang Nord;Linde;Tilia x;Einzelbaum;;"22.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";69;10;6;1995;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"00";3458971.04512623;5441668.77147669;118
Nord;;2085;Bank;Feld-Ahorn;Acer campestre;Einzelbaum;;"20.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";53;4;4;2000;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"02";3458393.309;5439540.313;118
Nord;;2168;Büchenauerstr.;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"02.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"3-geringer";"1-vital";"2-Erwachsener Baum";72;7;6;2000;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"02";3458659.277;5439465.363;118
Nord;;3086;Gebäude 305;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"23.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";154;23;12;1955;;"0-keine Schäden";;"0-keine Schäden";"14-Baumfremder Bewuchs";"1-leichte Schäden";"1-normal";;;"03";3458299.90112561;5439882.22347568;118
Nord;;4;Eingang;Vogel-, Süss-Kirsche;Prunus avium;Einzelbaum;;"16.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";107;10;8;1985;"01-Verletzung | 02-Höhlung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"00";3458348.17025134;5439611.38195104;118
